"sample"	"n_loci"	"population"	"group"
"482"	"PS12_025"	23478	"SalishSea12_13"	"Alaska"
"381"	"KOD03_074"	23479	"Kodiak03"	"Alaska"
"574"	"UP03_021"	23482	"UnimakPass03"	"Alaska"
"599"	"UP03_046"	23482	"UnimakPass03"	"Alaska"
"182"	"HS04_020"	23486	"HecStrait04"	"Alaska"
"20"	"AD06_020"	23493	"Adak06"	"Alaska"
"392"	"KOD03_085"	23493	"Kodiak03"	"Alaska"
"521"	"PWS12_016"	23495	"PWSound12"	"Alaska"
"477"	"PS12_020"	23497	"SalishSea12_13"	"Alaska"
"209"	"HS04_047"	23500	"HecStrait04"	"Alaska"
"163"	"HS04_001"	23503	"HecStrait04"	"Alaska"
"566"	"UP03_013"	23504	"UnimakPass03"	"Alaska"
"223"	"JB021108_11_rep_92bp"	23509	"JinhaeBay08"	"Korea"
"607"	"WC05_006"	23509	"WashCoast05"	"Alaska"
"189"	"HS04_027"	23512	"HecStrait04"	"Alaska"
"257"	"JB021108_39_92bp"	23518	"JinhaeBay08"	"Korea"
"29"	"AD06_029"	23524	"Adak06"	"Alaska"
"559"	"UP03_006"	23527	"UnimakPass03"	"Alaska"
"462"	"PS12_005"	23533	"SalishSea12_13"	"Alaska"
"539"	"PWS12_066"	23536	"PWSound12"	"Alaska"
"359"	"KOD03_052"	23540	"Kodiak03"	"Alaska"
"403"	"KOD03_096"	23541	"Kodiak03"	"Alaska"
"513"	"PWS12_008"	23541	"PWSound12"	"Alaska"
"563"	"UP03_010"	23550	"UnimakPass03"	"Alaska"
"240"	"JB021108_28_2_92bp"	23552	"JinhaeBay08"	"Korea"
"623"	"WC05_022"	23553	"WashCoast05"	"Alaska"
"191"	"HS04_029"	23559	"HecStrait04"	"Alaska"
"332"	"JUK07_12_92bp"	23566	"Jukbyeon07"	"Korea"
"357"	"KOD03_035"	23566	"Kodiak03"	"Alaska"
"18"	"AD06_018"	23567	"Adak06"	"Alaska"
"630"	"WC05_029"	23581	"WashCoast05"	"Alaska"
"378"	"KOD03_071"	23586	"Kodiak03"	"Alaska"
"361"	"KOD03_054"	23600	"Kodiak03"	"Alaska"
"167"	"HS04_005"	23602	"HecStrait04"	"Alaska"
"338"	"JUK07_17_92bp"	23608	"Jukbyeon07"	"Korea"
"391"	"KOD03_084"	23612	"Kodiak03"	"Alaska"
"511"	"PWS12_006"	23620	"PWSound12"	"Alaska"
"146"	"GS13_001"	23625	"SalishSea12_13"	"Alaska"
"370"	"KOD03_063"	23625	"Kodiak03"	"Alaska"
"348"	"JUK07_28_92bp"	23627	"Jukbyeon07"	"Korea"
"479"	"PS12_022"	23630	"SalishSea12_13"	"Alaska"
"385"	"KOD03_078"	23640	"Kodiak03"	"Alaska"
"473"	"PS12_016"	23647	"SalishSea12_13"	"Alaska"
"48"	"AD06_048"	23655	"Adak06"	"Alaska"
"8"	"AD06_008"	23661	"Adak06"	"Alaska"
"184"	"HS04_022"	23670	"HecStrait04"	"Alaska"
"633"	"WC05_032"	23671	"WashCoast05"	"Alaska"
"613"	"WC05_012"	23676	"WashCoast05"	"Alaska"
"545"	"PWS12_079"	23678	"PWSound12"	"Alaska"
"389"	"KOD03_082"	23685	"Kodiak03"	"Alaska"
"617"	"WC05_016"	23685	"WashCoast05"	"Alaska"
"561"	"UP03_008"	23705	"UnimakPass03"	"Alaska"
"157"	"GS13_012"	23708	"SalishSea12_13"	"Alaska"
"469"	"PS12_012"	23709	"SalishSea12_13"	"Alaska"
"533"	"PWS12_054"	23711	"PWSound12"	"Alaska"
"176"	"HS04_014"	23713	"HecStrait04"	"Alaska"
"583"	"UP03_030"	23714	"UnimakPass03"	"Alaska"
"36"	"AD06_036"	23729	"Adak06"	"Alaska"
"510"	"PWS12_005"	23731	"PWSound12"	"Alaska"
"571"	"UP03_018"	23742	"UnimakPass03"	"Alaska"
"641"	"WC05_040"	23750	"WashCoast05"	"Alaska"
"489"	"PS12_032"	23758	"JuandeFuca12"	"Alaska"
"506"	"PWS12_001"	23760	"PWSound12"	"Alaska"
"475"	"PS12_018"	23762	"SalishSea12_13"	"Alaska"
"174"	"HS04_012"	23779	"HecStrait04"	"Alaska"
"497"	"PS12_040"	23783	"JuandeFuca12"	"Alaska"
"362"	"KOD03_055"	23800	"Kodiak03"	"Alaska"
"202"	"HS04_040"	23822	"HecStrait04"	"Alaska"
"178"	"HS04_016"	23833	"HecStrait04"	"Alaska"
"44"	"AD06_044"	23834	"Adak06"	"Alaska"
"242"	"JB021108_29_92bp"	23835	"JinhaeBay08"	"Korea"
"589"	"UP03_036"	23840	"UnimakPass03"	"Alaska"
"515"	"PWS12_010"	23847	"PWSound12"	"Alaska"
"180"	"HS04_018"	23850	"HecStrait04"	"Alaska"
"368"	"KOD03_061"	23859	"Kodiak03"	"Alaska"
"463"	"PS12_006"	23859	"SalishSea12_13"	"Alaska"
"619"	"WC05_018"	23861	"WashCoast05"	"Alaska"
"519"	"PWS12_014"	23870	"PWSound12"	"Alaska"
"396"	"KOD03_089"	23871	"Kodiak03"	"Alaska"
"471"	"PS12_014"	23872	"SalishSea12_13"	"Alaska"
"372"	"KOD03_065"	23874	"Kodiak03"	"Alaska"
