sample	n_loci	population	group
NA021015_08.1_92bp	24528	Namhae15	Korea
NA021015_09.1_92bp	25231	Namhae15	Korea
NA021015_09_2_92bp	25546	Namhae15	Korea
NA021015_10.1_92bp	25145	Namhae15	Korea
NA021015_10_2_92bp	25325	Namhae15	Korea
NA021015_13.1_92bp	24910	Namhae15	Korea
NA021015_14.1_92bp	25041	Namhae15	Korea
NA021015_16.1_92bp	24958	Namhae15	Korea
NA021015_17.1_92bp	24948	Namhae15	Korea
NA021015_21.1_92bp	24942	Namhae15	Korea
NA021015_22.1_92bp	24888	Namhae15	Korea
NA021015_23_92bp	25122	Namhae15	Korea
NA021015_25_92bp	25184	Namhae15	Korea
NA021015_26_92bp	25210	Namhae15	Korea
NA021015_30_92bp	25106	Namhae15	Korea
PO010715_02_92bp	25310	Pohang15	Korea
PO010715_02_rep_92bp	25302	Pohang15	Korea
PO010715_04_92bp	25139	Pohang15	Korea
PO010715_06.1_92bp	24777	Pohang15	Korea
PO010715_07_92bp	25250	Pohang15	Korea
PO010715_07_rep_92bp	25276	Pohang15	Korea
PO010715_08.1_92bp	24998	Pohang15	Korea
PO010715_10.1_92bp	24997	Pohang15	Korea
PO010715_11.1_92bp	24940	Pohang15	Korea
PO010715_12_92bp	25150	Pohang15	Korea
PO010715_17.1_92bp	24985	Pohang15	Korea
PO010715_19.1_92bp	25002	Pohang15	Korea
PO010715_26_2_92bp	25240	Pohang15	Korea
PO010715_26_92bp	25396	Pohang15	Korea
PO010715_27.1_92bp	24905	Pohang15	Korea
PO010715_28.1_92bp	25311	Pohang15	Korea
PO010715_29.1_92bp	25019	Pohang15	Korea
PO020515_01_92bp	25088	Pohang15	Korea
PO020515_03.1_92bp	24962	Pohang15	Korea
PO020515_05.1_92bp	24653	Pohang15	Korea
PO020515_06_92bp	25192	Pohang15	Korea
PO020515_08.1_92bp	24924	Pohang15	Korea
PO020515_09.1_92bp	24669	Pohang15	Korea
PO020515_10.1_92bp	24734	Pohang15	Korea
PO020515_14.1_92bp	24995	Pohang15	Korea
PO020515_15.1_92bp	25053	Pohang15	Korea
PO020515_16.1_92bp	25047	Pohang15	Korea
PO020515_17.1_92bp	25034	Pohang15	Korea
PO031715_03_92bp	25131	Pohang15	Korea
PO031715_04_92bp	25135	Pohang15	Korea
PO031715_13.1_92bp	25171	Pohang15	Korea
PO031715_20.1_92bp	24873	Pohang15	Korea
PO031715_23_92bp	25094	Pohang15	Korea
PO031715_24_92bp	25134	Pohang15	Korea
PS12_001	23171	SalishSea12_13	Alaska
PS12_002	21636	SalishSea12_13	Alaska
PS12_003	23416	SalishSea12_13	Alaska
PS12_004	19132	SalishSea12_13	Alaska
PS12_005	23533	SalishSea12_13	Alaska
PS12_006	23859	SalishSea12_13	Alaska
PS12_007	21775	SalishSea12_13	Alaska
PS12_008	24039	SalishSea12_13	Alaska
PS12_009	22026	SalishSea12_13	Alaska
PS12_010	20238	SalishSea12_13	Alaska
PS12_011	20650	SalishSea12_13	Alaska
PS12_012	23709	SalishSea12_13	Alaska
PS12_013	22160	SalishSea12_13	Alaska
PS12_014	23872	SalishSea12_13	Alaska
PS12_015	24123	SalishSea12_13	Alaska
PS12_016	23647	SalishSea12_13	Alaska
PS12_017	23974	SalishSea12_13	Alaska
PS12_018	23762	SalishSea12_13	Alaska
PS12_019	20953	SalishSea12_13	Alaska
PS12_020	23497	SalishSea12_13	Alaska
PS12_021	22891	SalishSea12_13	Alaska
PS12_022	23630	SalishSea12_13	Alaska
PS12_023	19604	SalishSea12_13	Alaska
PS12_024	23463	SalishSea12_13	Alaska
PS12_025	23478	SalishSea12_13	Alaska
PS12_026	22631	JuandeFuca12	Alaska
PS12_027	23414	JuandeFuca12	Alaska
PS12_028	22725	JuandeFuca12	Alaska
PS12_029	23470	JuandeFuca12	Alaska
PS12_030	21997	JuandeFuca12	Alaska
PS12_031	23026	JuandeFuca12	Alaska
PS12_032	23758	JuandeFuca12	Alaska
PS12_033	23190	JuandeFuca12	Alaska
PS12_034	22459	JuandeFuca12	Alaska
PS12_035	23435	JuandeFuca12	Alaska
PS12_036	23203	JuandeFuca12	Alaska
PS12_037	23330	JuandeFuca12	Alaska
PS12_038	21371	JuandeFuca12	Alaska
PS12_039	18506	JuandeFuca12	Alaska
PS12_040	23783	JuandeFuca12	Alaska
