sample	n_loci	population	group
PWS12_016	22952	PWSound12	Alaska
KOD03_068	18990	Kodiak03	Alaska
PWS12_010	23349	PWSound12	Alaska
PWS12_011	22852	PWSound12	Alaska
PWS12_012	20358	PWSound12	Alaska
PWS12_013	22745	PWSound12	Alaska
PO010715_06.1_92bp	24106	Pohang15	Korea
PWS12_018	22456	PWSound12	Alaska
PWS12_019	22207	PWSound12	Alaska
JUK07_13_92bp	24266	Jukbyeon07	Korea
GEO020414_29_92bp	22986	Geoje14	Korea
YS_121316_27_92bp	23052	YellowSea16	Korea
JUK07_02_rep.1_92bp	24678	Jukbyeon07	Korea
JB021108_05_rep_92bp	24819	JinhaeBay08	Korea
NA021015_17.1_92bp	24556	Namhae15	Korea
PO031715_03_92bp	24726	Pohang15	Korea
JUK07_12_92bp	21579	Jukbyeon07	Korea
YS121315_12_300_92bp	23986	YellowSea16	Korea
JUK07_14_92bp	23258	Jukbyeon07	Korea
BOR07_01_2_92bp	24546	Boryeong07	Korea
BOR07_04_92bp	24753	Boryeong07	Korea
NA021015_30_92bp	24738	Namhae15	Korea
PWS12_063	21452	PWSound12	Alaska
PWS12_064	20362	PWSound12	Alaska
PWS12_066	23019	PWSound12	Alaska
PWS12_069	22479	PWSound12	Alaska
JB121807_33.1_92bp	23570	JinhaeBay07	Korea
JB021108_31_2_92bp	23606	JinhaeBay08	Korea
WC05_019	17594	WashCoast05	Alaska
WC05_018	23390	WashCoast05	Alaska
WC05_015	23595	WashCoast05	Alaska
WC05_014	22812	WashCoast05	Alaska
WC05_017	23234	WashCoast05	Alaska
WC05_016	23219	WashCoast05	Alaska
WC05_011	16577	WashCoast05	Alaska
WC05_010	18986	WashCoast05	Alaska
WC05_013	15382	WashCoast05	Alaska
WC05_012	23118	WashCoast05	Alaska
JB021108_25.1_92bp	19242	JinhaeBay08	Korea
JB021108_12.1_92bp	24654	JinhaeBay08	Korea
GE012315_04.1_92bp	24333	Geoje15	Korea
PWS12_025	22643	PWSound12	Alaska
BOR07_12.1_92bp	24685	Boryeong07	Korea
PO010715_07_92bp	24792	Pohang15	Korea
GEO020414_14_92bp	24244	Geoje14	Korea
JB121807_10_c_92bp	3152	JinhaeBay07	Korea
HS04_042	20031	HecStrait04	Alaska
GE011215_28_92bp	24825	Geoje15	Korea
HS04_040	23334	HecStrait04	Alaska
HS04_041	22413	HecStrait04	Alaska
HS04_046	22436	HecStrait04	Alaska
HS04_047	23016	HecStrait04	Alaska
HS04_044	22560	HecStrait04	Alaska
HS04_045	21122	HecStrait04	Alaska
HS04_048	22578	HecStrait04	Alaska
WC05_043	12628	WashCoast05	Alaska
GS13_003	20989	SalishSea12_13	Alaska
GS13_002	15341	SalishSea12_13	Alaska
GS13_001	23116	SalishSea12_13	Alaska
PO010715_11.1_92bp	24463	Pohang15	Korea
JB121807_27_2_92bp	24175	JinhaeBay07	Korea
WC05_040	23291	WashCoast05	Alaska
GS13_005	22828	SalishSea12_13	Alaska
GS13_004	17087	SalishSea12_13	Alaska
AD06_013	20627	Adak06	Alaska
GS13_009	14614	SalishSea12_13	Alaska
GS13_008	22773	SalishSea12_13	Alaska
KOD03_083	21798	Kodiak03	Alaska
JB121807_05_92bp	20066	JinhaeBay07	Korea
AD06_011	23368	Adak06	Alaska
UP03_011	23642	UnimakPass03	Alaska
YS_121316_24_92bp	24764	YellowSea16	Korea
GEO020414_5_92bp	24081	Geoje14	Korea
KOD03_086	21475	Kodiak03	Alaska
NA021015_13.1_92bp	24355	Namhae15	Korea
WC05_036	22202	WashCoast05	Alaska
PO031715_24_92bp	24681	Pohang15	Korea
PO010715_26_92bp	24954	Pohang15	Korea
PO020515_15.1_92bp	24625	Pohang15	Korea
JB021108_07.1_92bp	24206	JinhaeBay08	Korea
WC05_032	23163	WashCoast05	Alaska
YS121315_14_2_92bp	24941	YellowSea16	Korea
AD06_026	17805	Adak06	Alaska
PO010715_04_92bp	24738	Pohang15	Korea
JB121807_23_2_92bp	23306	JinhaeBay07	Korea
PS12_002	19508	SalishSea12_13	Alaska
PS12_001	22306	SalishSea12_13	Alaska
PS12_007	19828	SalishSea12_13	Alaska
YS_121316_29_92bp	22214	YellowSea16	Korea
PS12_005	22960	SalishSea12_13	Alaska
PS12_004	16270	SalishSea12_13	Alaska
UP03_001	23495	UnimakPass03	Alaska
PS12_009	20220	SalishSea12_13	Alaska
JB121807_31.1_92bp	23968	JinhaeBay07	Korea
UP03_005	22134	UnimakPass03	Alaska
KOD03_035	22939	Kodiak03	Alaska
UP03_007	21223	UnimakPass03	Alaska
UP03_006	22765	UnimakPass03	Alaska
UP03_047	22229	UnimakPass03	Alaska
GE012315_10.1_92bp	24581	Geoje15	Korea
JB121807_44_92bp	24453	JinhaeBay07	Korea
GE011215_16.1_92bp	24246	Geoje15	Korea
JUK07_19_92bp	24354	Jukbyeon07	Korea
YS_121316_20.1_92bp	24801	YellowSea16	Korea
GEO020414_25_92bp	23683	Geoje14	Korea
JUK07_02.1_92bp	24749	Jukbyeon07	Korea
PWS12_021	22711	PWSound12	Alaska
PWS12_020	22949	PWSound12	Alaska
PWS12_023	21576	PWSound12	Alaska
PWS12_022	22697	PWSound12	Alaska
AD06_028	14455	Adak06	Alaska
AD06_029	22955	Adak06	Alaska
PO031715_04_92bp	24767	Pohang15	Korea
AD06_022	13551	Adak06	Alaska
AD06_023	21417	Adak06	Alaska
AD06_020	22578	Adak06	Alaska
AD06_021	21841	Adak06	Alaska
JB121807_09.1_92bp	15659	JinhaeBay07	Korea
AD06_027	16743	Adak06	Alaska
JB121807_37_92bp	24393	JinhaeBay07	Korea
PO010715_07_rep_92bp	24827	Pohang15	Korea
BOR07_11.1_92bp	24745	Boryeong07	Korea
NA021015_09_2_92bp	25157	Namhae15	Korea
UP03_041	22783	UnimakPass03	Alaska
BOR07_21_2_92bp	24426	Boryeong07	Korea
GEO020414_9_300_92bp	24498	Geoje14	Korea
GE011215_11_92bp	24754	Geoje15	Korea
PO020515_16.1_92bp	24523	Pohang15	Korea
JB121807_30_92bp	20229	JinhaeBay07	Korea
