per locus comparison. all values as proportions
locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
10786	50	0.0	0.04	0.0	0.96	0.0	0.0	0.833333333333	0.166666666667
10790	50	0.0	0.14	0.0	0.86	0.0	0.0	1.0	0.0
10792	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10793	50	0.0	0.32	0.0	0.68	0.0	0.0	1.0	0.0
10794	50	0.0	0.0	0.0	1.0	0.0	0.0	0.88	0.12
10800	50	0.0	0.04	0.0	0.96	0.0	0.0	0.541666666667	0.458333333333
10815	50	0.0	0.1	0.0	0.9	0.0	0.0	0.444444444444	0.555555555556
10817	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
1082	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10820	50	0.0	0.98	0.0	0.02	0.0	0.0	1.0	0.0
10821	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10822	50	0.0	0.0	0.0	1.0	0.0	0.0	0.9	0.1
10823	50	0.0	0.0	0.0	1.0	0.0	0.0	0.6	0.4
10824	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10826	50	0.0	0.02	0.0	0.98	0.0	0.0	0.979591836735	0.0204081632653
10828	50	0.0	0.1	0.0	0.9	0.0	0.0	0.933333333333	0.0666666666667
1083	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10830	50	0.0	0.0	0.0	1.0	0.0	0.0	0.92	0.08
10831	50	0.0	0.0	0.0	1.0	0.0	0.0	0.62	0.38
10834	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10842	50	0.0	0.04	0.0	0.96	0.0	0.0	1.0	0.0
10845	50	0.0	0.18	0.0	0.82	0.0	0.0	0.463414634146	0.536585365854
10848	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10849	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
1085	50	0.0	0.0	0.0	1.0	0.0	0.0	0.98	0.02
10850	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10854	50	0.0	0.18	0.0	0.82	0.0	0.0	0.975609756098	0.0243902439024
10857	50	0.0	0.06	0.0	0.94	0.0	0.0	1.0	0.0
1086	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10861	50	0.0	0.1	0.0	0.9	0.0	0.0	1.0	0.0
1087	50	0.0	0.06	0.0	0.94	0.0	0.0	0.63829787234	0.36170212766
10873	50	0.0	0.02	0.0	0.98	0.0	0.0	0.142857142857	0.857142857143
10875	50	0.0	0.06	0.0	0.94	0.0	0.0	0.574468085106	0.425531914894
10883	50	0.0	0.2	0.0	0.8	0.0	0.0	0.2	0.8
10884	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10887	50	0.0	0.0	0.0	1.0	0.0	0.0	0.98	0.02
10891	50	0.0	0.04	0.0	0.96	0.0	0.0	0.770833333333	0.229166666667
10892	50	0.0	0.12	0.0	0.88	0.0	0.0	1.0	0.0
10896	50	0.0	0.02	0.0	0.98	0.0	0.0	0.959183673469	0.0408163265306
