locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
2325	50	0.02	0.0	0.02	0.96	1.0	0.0	0.0	0.0
2331	50	0.28	0.04	0.08	0.6	1.0	0.0	0.0	0.0
2333	50	0.02	0.0	0.02	0.96	0.979166666667	0.0	0.0	0.0208333333333
2334	50	0.14	0.14	0.08	0.64	0.96875	0.03125	0.0	0.0
2336	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
2337	50	0.0	0.0	0.06	0.94	0.978723404255	0.0	0.0212765957447	0.0
2338	50	0.02	0.02	0.02	0.94	0.978723404255	0.0	0.0	0.0212765957447
2341	50	0.24	0.16	0.02	0.58	1.0	0.0	0.0	0.0
2342	50	0.0	0.0	0.12	0.88	1.0	0.0	0.0	0.0
2344	50	0.14	0.16	0.02	0.68	1.0	0.0	0.0	0.0
2346	50	0.06	0.0	0.06	0.88	0.977272727273	0.0	0.0	0.0227272727273
2353	50	0.06	0.0	0.06	0.88	1.0	0.0	0.0	0.0
2354	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
2356	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
2358	50	0.14	0.08	0.06	0.72	1.0	0.0	0.0	0.0
2360	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
2365	50	0.18	0.26	0.02	0.54	1.0	0.0	0.0	0.0
2371	50	0.12	0.14	0.0	0.74	1.0	0.0	0.0	0.0
2374	50	0.2	0.24	0.0	0.56	1.0	0.0	0.0	0.0
2376	50	0.12	0.32	0.0	0.56	1.0	0.0	0.0	0.0
2385	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
2386	50	0.04	0.0	0.08	0.88	1.0	0.0	0.0	0.0
2387	50	0.04	0.0	0.04	0.92	0.95652173913	0.0	0.0	0.0434782608696
2388	50	0.18	0.12	0.02	0.68	1.0	0.0	0.0	0.0
2389	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
2390	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
2395	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
2397	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
2398	50	0.02	0.06	0.08	0.84	0.97619047619	0.0	0.0238095238095	0.0
2401	50	0.28	0.34	0.02	0.36	1.0	0.0	0.0	0.0
2402	50	0.06	0.0	0.08	0.86	1.0	0.0	0.0	0.0
2403	50	0.26	0.36	0.0	0.38	1.0	0.0	0.0	0.0
2404	50	0.48	0.28	0.02	0.22	1.0	0.0	0.0	0.0
2406	50	0.06	0.0	0.06	0.88	0.977272727273	0.0	0.0	0.0227272727273
2407	50	0.0	0.0	0.04	0.96	0.958333333333	0.0	0.0208333333333	0.0208333333333
2409	50	0.1	0.1	0.04	0.76	1.0	0.0	0.0	0.0
2410	50	0.14	0.18	0.06	0.62	1.0	0.0	0.0	0.0
2412	50	0.34	0.3	0.06	0.3	1.0	0.0	0.0	0.0
2414	50	0.12	0.22	0.14	0.52	1.0	0.0	0.0	0.0
2419	50	0.06	0.12	0.04	0.78	1.0	0.0	0.0	0.0
2420	50	0.04	0.02	0.04	0.9	1.0	0.0	0.0	0.0
2423	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
2427	50	0.18	0.18	0.04	0.6	0.933333333333	0.0333333333333	0.0	0.0333333333333
2428	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
